id,listing_url,name,picture_url,host_name,host_since,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
42417397,https://www.airbnb.com/rooms/42417397,Perfect Apt. in Amsterdam West / near Jordaan,https://a0.muscache.com/pictures/miso/Hosting-42417397/original/7571ce70-3f9c-4801-9917-dafabc2a19a0.jpeg,Leticia Alejandra,2014-10-13,f,t,Westerpark,52.38205,4.876,Entire condo,Entire home/apt,3,$240.00,18,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
42424116,https://www.airbnb.com/rooms/42424116,Stylish private garden studio,https://a0.muscache.com/pictures/71a80dae-a352-4c0c-96cc-1f3a4e41055a.jpg,Bart,2015-09-07,t,t,Oud-Oost,52.35998,4.92354,Private room in home,Private room,2,$115.00,2,48,4.92,4.96,4.69,4.96,4.96,4.98,4.83
42430386,https://www.airbnb.com/rooms/42430386,Dutchies Hostel,https://a0.muscache.com/pictures/7fcf2dfe-0e15-48bb-afb7-4cc4c473a8ea.jpg,Dutchies Hostel,2019-11-11,f,t,Bos en Lommer,52.38322,4.84625,Room in hostel,Hotel room,10,$0.00,1,0,,,,,,,
42430799,https://www.airbnb.com/rooms/42430799,Cozy 1-bedroom apartment close to Westerpark,https://a0.muscache.com/pictures/miso/Hosting-42430799/original/4fdd568b-f0d6-40b4-97cc-f9b9ce6e4dce.jpeg,Sophie,2010-11-02,f,t,Westerpark,52.37935,4.8682,Entire rental unit,Entire home/apt,4,$175.00,1,5,5.0,5.0,4.6,5.0,5.0,4.8,5.0
42431101,https://www.airbnb.com/rooms/42431101,Subwaystation Park B&B Stand alone. 100% privacy.,https://a0.muscache.com/pictures/f770f00f-afd9-4ae2-a6aa-d118e834c72d.jpg,Edward,2016-04-19,f,t,Oud-Noord,52.39078,4.92556,Private room in rental unit,Private room,2,$90.00,2,46,4.61,4.67,4.39,4.74,4.87,4.76,4.54
42431273,https://www.airbnb.com/rooms/42431273,Hotel Abba,https://a0.muscache.com/pictures/8b8ce867-afeb-430e-bfc0-ee013d9c9dc1.jpg,Hotel Abba,2019-11-13,,t,De Baarsjes - Oud-West,52.36279,4.87458,Room in hotel,Hotel room,3,$0.00,1,0,,,,,,,
42431450,https://www.airbnb.com/rooms/42431450,Melrose Hotel,https://a0.muscache.com/pictures/92796479-d704-40e3-baa7-81ee2dd823ab.jpg,Melrose Hotel,2019-11-22,f,t,Centrum-West,52.36964,4.88004,Room in hotel,Hotel room,4,$0.00,1,68,4.53,4.59,4.62,4.68,4.49,4.82,4.34
42432365,https://www.airbnb.com/rooms/42432365,Lovely family home with garden in Oost near subway,https://a0.muscache.com/pictures/222d9a18-8e5d-4ffe-a29b-8bf702de890f.jpg,Myrthe,2013-10-22,f,t,Oud-Oost,52.35532,4.91381,Entire rental unit,Entire home/apt,4,$325.00,4,3,5.0,5.0,5.0,5.0,5.0,4.67,4.67
42446188,https://www.airbnb.com/rooms/42446188,"Central, Exclusive Penthouse with River View",https://a0.muscache.com/pictures/208eb96e-897f-4a2d-953a-42e749fd4502.jpg,Eric,2018-11-29,t,t,Centrum-Oost,52.37754,4.90699,Entire rental unit,Entire home/apt,4,$272.00,1,191,4.84,4.79,4.87,4.8,4.86,4.88,4.57
42446222,https://www.airbnb.com/rooms/42446222,Bright Nordic Designed Apartment with River View,https://a0.muscache.com/pictures/711f12be-cc4f-4a46-9bb4-e728556dc260.jpg,Eric,2018-11-29,t,t,Centrum-Oost,52.37754,4.90699,Entire serviced apartment,Entire home/apt,5,$364.00,1,54,4.69,4.74,4.85,4.78,4.83,4.74,4.33
42446371,https://www.airbnb.com/rooms/42446371,Spacious Serviced Apartment with River View,https://a0.muscache.com/pictures/miso/Hosting-42446371/original/05f8f922-700e-4c2d-a9f4-e4f233460f43.jpeg,Eric,2018-11-29,t,t,Centrum-Oost,52.37754,4.90699,Entire serviced apartment,Entire home/apt,7,$505.00,1,277,4.8,4.75,4.87,4.82,4.83,4.83,4.52
42463044,https://www.airbnb.com/rooms/42463044,Modern apartment near city center,https://a0.muscache.com/pictures/aa76768d-9bdc-4190-8872-615a623949af.jpg,Barney,2016-08-05,f,t,Westerpark,52.38394,4.87752,Entire rental unit,Entire home/apt,4,$119.00,3,20,4.75,4.65,4.7,5.0,4.9,4.45,4.5
42464907,https://www.airbnb.com/rooms/42464907,"Spacious Canal-House , 15  min. to City- Center.",https://a0.muscache.com/pictures/b5f1675e-ad35-4736-be2c-7d894996e3b9.jpg,Wim,2016-11-21,f,t,IJburg - Zeeburgereiland,52.35651,4.99681,Entire home,Entire home/apt,4,$275.00,4,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0
42470025,https://www.airbnb.com/rooms/42470025,Great Room in best part of Ams (shared Bathroom),https://a0.muscache.com/pictures/miso/Hosting-42470025/original/9e8c744e-4925-4647-b9d2-443d3a5a49dd.jpeg,Thierry,2013-10-15,f,t,Zuid,52.34527,4.86177,Private room in rental unit,Private room,2,$79.00,4,10,4.7,4.9,4.5,4.9,5.0,5.0,4.8
42479193,https://www.airbnb.com/rooms/42479193,Bright & cozy apartment - perfectly located!!,https://a0.muscache.com/pictures/b5c583e9-8d0b-473c-b083-c52160cddd06.jpg,Nanda,2014-09-04,f,f,Oud-Oost,52.35681,4.92164,Entire rental unit,Entire home/apt,2,$165.00,2,14,4.93,4.93,4.86,4.86,4.93,5.0,4.64
